name,ingredient1_id,ingredient1_amount,ingredient2_id,ingredient2_amount,ingredient3_id,ingredient3_amount,ingredient4_id,ingredient4_amount,garnish_id,method,ice_in_shake,is_on_the_rocks,glass_type,abv,summary
알렉산더,5,1oz,17,1oz,24,1oz,,,10,shake,TRUE,FALSE,martini,20,"브랜디, 아몬드 리큐르, 우유가 어우러진 달콤하고 부드러운 칵테일"
애비에이션,1,1.5oz,12,1oz,14,2dash,,,1,shake,TRUE,FALSE,martini,28,"상큼한 레몬주스에 체리 리큐르가 어우러진, 보랏빛 칵테일"
비스 니즈,1,1.5oz,13,0.5oz,18,0.5oz,,,1,shake,TRUE,FALSE,martini,25,"진과 레몬주스, 심플 시럽이 어우러진 산뜻한 칵테일"
비트윈 더 시트,5,1oz,2,1oz,9,1oz,13,1oz,,shake,TRUE,FALSE,martini,33,"브랜디와 럼, 상큼한 오렌지향이 어우러진 강한 칵테일"
블랙 러시안,3,2oz,19,1oz,,,,,,stir,FALSE,TRUE,on_the_rocks,25,보드카와 커피 리큐르가 어우러진 깔끔한 달콤 씁쓸함
브랜디 크러스타,5,2oz,9,1dash,14,0.5oz,13,0.5oz,7,shake,FALSE,FALSE,coupe,30,다양한 재료가 조화된 브랜디 베이스의 클래식 칵테일
불바디에,4,1oz,20,1oz,23,2dash,,,,stir,FALSE,TRUE,on_the_rocks,30,강렬하고 묵직한 위스키 기반의 칵테일
쿠바 리브레,2,2oz,12,0.5oz,18,1oz,25,filling,,stir,FALSE,TRUE,long_drink,12,럼과 라임의 상큼한 조화가 돋보이는 클래식 하이볼
다이키리,2,2oz,12,1oz,18,0.5oz,,,,shake,TRUE,FALSE,martini,25,럼 베이스의 새콤달콤하고 시원한 라임 칵테일
드라이 마티니,1,1oz,21,1oz,,,,,7,stir,FALSE,FALSE,martini,30,"진과 드라이 베르무트의 깔끔한 조화, 고전적인 드라이 칵테일"
프렌치 커넥션,5,1oz,17,1oz,,,,,,stir,FALSE,TRUE,on_the_rocks,35,브랜디와 아몬드 리큐르의 부드럽고 달콤한 조화
행키팽키,1,1.5oz,22,1.5oz,23,1dash,,,,stir,FALSE,FALSE,martini,29,"진과 스위트 베르무트, 허브 리큐르의 씁쓸하고 달콤한 매력"
라스트 워드,1,1oz,20,1oz,14,1oz,12,1oz,,shake,TRUE,FALSE,martini,30,"진과 체리, 허브, 라임이 어우러진 새콤하고 씁쓸한 칵테일"
맨해튼,4,1oz,22,1oz,23,2dash,,,10,stir,FALSE,FALSE,martini,30,"위스키와 스위트 베르무트, 비터스의 조화로운 스파이시함"
마가리타,6,2oz,9,1oz,12,0.5oz,,,,shake,TRUE,FALSE,margarita,30,데킬라와 시트러스의 상큼한 멕시칸 대표 칵테일
마르티네스,1,1.5oz,21,1oz,23,1dash,,,,stir,FALSE,FALSE,martini,32,마티니의 시초가 된 고전적인 진 칵테일
메리 픽포드,2,1.5oz,16,1.5oz,13,0.5oz,10,1oz,9,shake,TRUE,FALSE,martini,23,"럼과 파인애플의 달콤한 조화, 체리의 포인트가 살아 있는 클래식한 열대풍 칵테일"
메트로폴리탄,22,1.5oz,11,0.5oz,9,0.5oz,26,1oz,,shake,TRUE,FALSE,martini,30,크랜베리와 감귤류의 산미가 조화를 이루는 도시적이고 세련된 보드카 베이스 칵테일
민트 줄렙,4,2oz,18,0.5oz,23,2dash,,,11,shake,TRUE,TRUE,long_drink,20,위스키와 민트의 상쾌함이 어우러진 더운 여름에 어울리는 청량한 칵테일
몽키 글랜드,1,1.5oz,11,1.5oz,7,0.5oz,26,0.5oz,,shake,TRUE,FALSE,martini,25,진한 오렌지와 허브 향이 어우러진 독특한 이름의 클래식 칵테일
네그로니,1,1oz,20,1oz,22,1oz,,,1,stir,TRUE,TRUE,on_the_rocks,21,"진, 베르무트, 리큐르의 쌉쌀하고 깊은 맛이 조화를 이루는 대표적인 이탈리안 칵테일"
올드 패션드,4,1oz,18,1oz,23,2dash,,,,stir,FALSE,TRUE,on_the_rocks,35,"위스키 본연의 맛을 살린 클래식 중의 클래식, 쌉쌀함과 단맛의 밸런스"
리멤버 더 메인,4,2oz,22,1oz,14,0.5oz,7,2dash,,shake,TRUE,FALSE,martini,30,쌉쌀함과 스파이스가 어우러진 역사적 의미가 담긴 위스키 기반 칵테일
러스티 네일,4,1.5oz,20,1oz,18,0.5oz,,,1,stir,FALSE,TRUE,on_the_rocks,30,"스카치와 리큐르의 깊고 부드러운 조화, 진한 풍미의 스피릿 칵테일"
사제락,5,2oz,7,0.5oz,18,0.5oz,23,2dash,1,stir,FALSE,TRUE,on_the_rocks,30,"브랜디와 압생트, 비터스의 조화가 돋보이는 강한 칵테일"
사이드카,5,2oz,9,1oz,13,1oz,,,7,shake,FALSE,FALSE,martini,30,브랜디에 오렌지 리큐르와 레몬 주스가 더해진 상큼한 클래식
사우스사이드,1,2oz,13,1oz,18,0.5oz,,,11,shake,FALSE,FALSE,martini,23,민트 향과 시트러스가 어우러진 상쾌한 진 칵테일
산타리타,6,2oz,9,1oz,12,0.5oz,,,5,shake,FALSE,FALSE,margarita,30,"데킬라와 오렌지, 라임이 어우러진 새콤한 칵테일"
스팅어,5,2oz,20,1oz,,,,,,stir,FALSE,TRUE,on_the_rocks,30,브랜디와 허브 리큐르가 어우러져 강렬하고 드라이한 풍미를 전하는 클래식 칵테일
톰 콜린스,1,2oz,13,1oz,18,1oz,25,filling,1,shake,TRUE,TRUE,long_drink,10,"진과 시트러스, 소다가 어우러진 청량감 넘치는 클래식 칵테일"
턱시도,1,1oz,21,1oz,14,1dash,23,1dash,1,shake,TRUE,FALSE,martini,33,드라이하고 독특한 풍미가 특징인 고전적인 진 베이스 칵테일
워드 8,4,2oz,11,1oz,13,1oz,26,0.5oz,8,shake,FALSE,FALSE,martini,30,위스키와 과일 주스가 조화를 이루는 상큼한 맛의 칵테일
위스키 사워,4,2oz,13,1oz,18,1oz,,,1,shake,TRUE,FALSE,sour,25,위스키의 묵직함과 레몬의 상큼함이 어우러진 대표적인 사워 계열 칵테일
화이트 레이디,1,1.5oz,9,1oz,13,0.5oz,,,1,shake,TRUE,FALSE,martini,28,상큼한 시트러스와 부드러운 진이 어우러진 클래식 칵테일
뷰 카레,4,1oz,5,1oz,22,1oz,23,2dash,10,stir,FALSE,TRUE,on_the_rocks,30,"위스키, 브랜디, 베르무트가 어우러진 뉴올리언스 스타일의 풍부한 칵테일"
파우스트,2,2oz,3,1oz,15,0.5oz,,,,shake,FALSE,FALSE,martini,33,럼과 크렌베리 주스의 조합으로 묵직하고 달콤한 향을 지닌 칵테일
플랜터즈 펀치,2,1.5oz,12,0.5oz,16,1oz,,,9,shake,TRUE,TRUE,long_drink,17,상큼한 라임과 달콤한 럼이 어우러진 트로피컬 스타일 칵테일
레모네이드,8,2oz,13,1oz,18,0.5oz,25,filling,2,shake,FALSE,TRUE,long_drink,15,문샤인 기반의 상큼한 여름 음료
로마의 왕,5,1.5oz,17,1oz,24,1oz,18,0.5oz,10,shake,FALSE,FALSE,martini,15,부드럽고 고소한 맛이 특징인 브랜디 베이스 칵테일
리베르탱고,1,2oz,21,1oz,14,0.5oz,26,0.5oz,10,shake,TRUE,FALSE,martini,30,체리 향과 드라이함이 어우러지는 관능적인 칵테일
마제스틱,5,1.5oz,19,1oz,22,0.5oz,9,0.5oz,7,shake,TRUE,FALSE,sour,30,"브랜디와 커피의 조화, 깊이 있는 단맛과 쌉쌀함"
문샤인 펀치,8,1.5oz,11,1.5oz,15,1.5oz,16,1.5oz,,shake,TRUE,TRUE,long_drink,15,문샤인과 과일 주스의 상큼한 펀치 칵테일
