name,ingredient1_id,ingredient1_amount,ingredient2_id,ingredient2_amount,ingredient3_id,ingredient3_amount,ingredient4_id,ingredient4_amount,garnish_id,method,ice_in_shake,is_on_the_rocks,glass_type,abv,summary,comments
알렉산더,5,1oz,17,1oz,24,1oz,,,10,shake,TRUE,FALSE,martini,20,"브랜디, 아몬드 리큐르, 우유가 어우러진 달콤하고 부드러운 칵테일","""새하얀 드레스를 입는 것은 시커먼 속내를 감추기 위함이지. 마치 이 술 처럼."""
애비에이션,1,1.5oz,12,1oz,14,2dash,,,1,shake,TRUE,FALSE,martini,28,"상큼한 레몬주스에 체리 리큐르가 어우러진, 보랏빛 칵테일","""구름 위를 나는 기분이 어떤 건지 궁금하다면, 이 술을 마셔보는걸 추천합니다."""
비스 니즈,1,1.5oz,13,0.5oz,18,0.5oz,,,1,shake,TRUE,FALSE,martini,25,"진과 레몬주스, 심플 시럽이 어우러진 산뜻한 칵테일","""최고의 비즈니스 맨을 위한 달콤한 한 잔."""
비트윈 더 시트,5,1oz,2,1oz,9,1oz,13,1oz,,shake,TRUE,FALSE,martini,33,"브랜디와 럼, 상큼한 오렌지향이 어우러진 강한 칵테일","""달콤한 말과 술에는 다 이유가 있는 법."""
블랙 러시안,3,2oz,19,1oz,,,,,,stir,FALSE,TRUE,on_the_rocks,25,보드카와 커피 리큐르가 어우러진 깔끔한 달콤 씁쓸함,"""소련놈들은 아침에 커피 대신에 이걸 한잔 마신다던데,"""
브랜디 크러스타,5,2oz,9,1dash,14,0.5oz,13,0.5oz,7,shake,FALSE,FALSE,coupe,30,다양한 재료가 조화된 브랜디 베이스의 클래식 칵테일,"""19세기 바텐더 예술의 정점. 칵테일도 예술이 될 수 있다네."""
불바디에,4,1oz,20,1oz,23,2dash,,,,stir,FALSE,TRUE,on_the_rocks,30,강렬하고 묵직한 위스키 기반의 칵테일,"""네그로니가 너무 쓰다고? 이거 먼저 마셔보는건 어때?"""
쿠바 리브레,2,2oz,12,0.5oz,18,1oz,25,filling,,stir,FALSE,TRUE,long_drink,12,럼과 라임의 상큼한 조화가 돋보이는 클래식 하이볼,"""Viva, Cuba Libre!"""
다이키리,2,2oz,12,1oz,18,0.5oz,,,,shake,TRUE,FALSE,martini,25,럼 베이스의 새콤달콤하고 시원한 라임 칵테일,"""헤밍웨이가 사랑한 칵테일이라는데, 한 모금이면 이유를 알겠지."""
드라이 마티니,1,1oz,21,1oz,,,,,7,stir,FALSE,FALSE,martini,30,"진과 드라이 베르무트의 깔끔한 조화, 고전적인 드라이 칵테일","""한 잔이면 신사, 두 잔이면 철학자, 세 잔이면 골칫거리."""
